,Acceleration,Age,Aggression,Agility,Attacking_Position,Balance,Ball_Control,Birth_Date,Club,Club_Joining,Club_Kit,Club_Position,Composure,Contract_Expiry,Crossing,Curve,Dribbling,Finishing,Freekick_Accuracy,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,Heading,Height,Interceptions,Jumping,Long_Pass,Long_Shots,Marking,Name,National_Kit,National_Position,Nationality,Penalties,Preffered_Foot,Preffered_Position,Rating,Reactions,Short_Pass,Shot_Power,Skill_Moves,Sliding_Tackle,Speed,Stamina,Standing_Tackle,Strength,Vision,Volleys,Weak_foot,Weight,Work_Rate
4847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TogoTogo,,,,,,,,,,,,,,,,,,
4848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MexicoMexico,,,,,,,,,,,,,,,,,,
4851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
4852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
4853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
4854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,El SalvadorEl Salvador,,,,,,,,,,,,,,,,,,
4855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VenezuelaVenezuela,,,,,,,,,,,,,,,,,,
4856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PanamaPanama,,,,,,,,,,,,,,,,,,
4857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Czech RepublicCzech Republic,,,,,,,,,,,,,,,,,,
4858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Costa RicaCosta Rica,,,,,,,,,,,,,,,,,,
4859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NigeriaNigeria,,,,,,,,,,,,,,,,,,
4860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
4861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JamaicaJamaica,,,,,,,,,,,,,,,,,,
4862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
4863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
4864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MontenegroMontenegro,,,,,,,,,,,,,,,,,,
4865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BelgiumBelgium,,,,,,,,,,,,,,,,,,
4867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BelgiumBelgium,,,,,,,,,,,,,,,,,,
4868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SerbiaSerbia,,,,,,,,,,,,,,,,,,
4869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwitzerlandSwitzerland,,,,,,,,,,,,,,,,,,
4870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SenegalSenegal,,,,,,,,,,,,,,,,,,
4871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
4872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SenegalSenegal,,,,,,,,,,,,,,,,,,
4873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
4876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
4887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
4888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
4889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
4891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
4892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MexicoMexico,,,,,,,,,,,,,,,,,,
4895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
4897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
4899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
4901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
4902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
4903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
4904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
4905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
4906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
4907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
4908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
4909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
4910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
4911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
4912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ParaguayParaguay,,,,,,,,,,,,,,,,,,
4913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
4914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
4915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
4916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
4917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UkraineUkraine,,,,,,,,,,,,,,,,,,
4918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulgariaBulgaria,,,,,,,,,,,,,,,,,,
4919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
4920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South AfricaSouth Africa,,,,,,,,,,,,,,,,,,
4921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
4922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MexicoMexico,,,,,,,,,,,,,,,,,,
4923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
4925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
4926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GambiaGambia,,,,,,,,,,,,,,,,,,
4927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
4928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United StatesUnited States,,,,,,,,,,,,,,,,,,
4930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
4931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
4932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GuineaGuinea,,,,,,,,,,,,,,,,,,
4933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
4934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
4935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AustraliaAustralia,,,,,,,,,,,,,,,,,,
4936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
4937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
4938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SerbiaSerbia,,,,,,,,,,,,,,,,,,
4939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BelgiumBelgium,,,,,,,,,,,,,,,,,,
4940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saudi ArabiaSaudi Arabia,,,,,,,,,,,,,,,,,,
4941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
4942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
4943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
4944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
4945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
4946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
4947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
4948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
4949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
4950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BoliviaBolivia,,,,,,,,,,,,,,,,,,
4951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UruguayUruguay,,,,,,,,,,,,,,,,,,
4952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivory CoastIvory Coast,,,,,,,,,,,,,,,,,,
4953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
4955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IcelandIceland,,,,,,,,,,,,,,,,,,
4956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
4957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
4958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GreeceGreece,,,,,,,,,,,,,,,,,,
4959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
4960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
4961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
4962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
4963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
4964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
4965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SenegalSenegal,,,,,,,,,,,,,,,,,,
4966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
4967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
4968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PolandPoland,,,,,,,,,,,,,,,,,,
4969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HungaryHungary,,,,,,,,,,,,,,,,,,
4970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
4971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saudi ArabiaSaudi Arabia,,,,,,,,,,,,,,,,,,
4972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GabonGabon,,,,,,,,,,,,,,,,,,
4973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
4974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South AfricaSouth Africa,,,,,,,,,,,,,,,,,,
4975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
4976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ScotlandScotland,,,,,,,,,,,,,,,,,,
4977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
4978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
4979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
4980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
4981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
4982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
4983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
4984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwedenSweden,,,,,,,,,,,,,,,,,,
4985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saudi ArabiaSaudi Arabia,,,,,,,,,,,,,,,,,,
4986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ParaguayParaguay,,,,,,,,,,,,,,,,,,
4987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivory CoastIvory Coast,,,,,,,,,,,,,,,,,,
4988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saudi ArabiaSaudi Arabia,,,,,,,,,,,,,,,,,,
4989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saudi ArabiaSaudi Arabia,,,,,,,,,,,,,,,,,,
4990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
4991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RomaniaRomania,,,,,,,,,,,,,,,,,,
4992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
4993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
4994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
4995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ComorosComoros,,,,,,,,,,,,,,,,,,
4996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
4997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
4998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guinea BissauGuinea Bissau,,,,,,,,,,,,,,,,,,
4999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burkina FasoBurkina Faso,,,,,,,,,,,,,,,,,,
5001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
5002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GreeceGreece,,,,,,,,,,,,,,,,,,
5003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
5004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GuineaGuinea,,,,,,,,,,,,,,,,,,
5005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FinlandFinland,,,,,,,,,,,,,,,,,,
5007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
5008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
5009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ScotlandScotland,,,,,,,,,,,,,,,,,,
5010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MoroccoMorocco,,,,,,,,,,,,,,,,,,
5011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SenegalSenegal,,,,,,,,,,,,,,,,,,
5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GhanaGhana,,,,,,,,,,,,,,,,,,
5013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BelgiumBelgium,,,,,,,,,,,,,,,,,,
5014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SenegalSenegal,,,,,,,,,,,,,,,,,,
5015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DenmarkDenmark,,,,,,,,,,,,,,,,,,
5016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FinlandFinland,,,,,,,,,,,,,,,,,,
5018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
5020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
5021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
5022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MaliMali,,,,,,,,,,,,,,,,,,
5023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SloveniaSlovenia,,,,,,,,,,,,,,,,,,
5024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
5025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
5026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Czech RepublicCzech Republic,,,,,,,,,,,,,,,,,,
5027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AustriaAustria,,,,,,,,,,,,,,,,,,
5028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AustraliaAustralia,,,,,,,,,,,,,,,,,,
5031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EcuadorEcuador,,,,,,,,,,,,,,,,,,
5033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
5034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
5038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwitzerlandSwitzerland,,,,,,,,,,,,,,,,,,
5039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
5041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
5043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
5045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
5046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
5047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BelgiumBelgium,,,,,,,,,,,,,,,,,,
5048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CuracaoCuracao,,,,,,,,,,,,,,,,,,
5049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
5053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PolandPoland,,,,,,,,,,,,,,,,,,
5054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlgeriaAlgeria,,,,,,,,,,,,,,,,,,
5057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BelgiumBelgium,,,,,,,,,,,,,,,,,,
5058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivory CoastIvory Coast,,,,,,,,,,,,,,,,,,
5059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
